Agency,State,Total Agency Size (Bytes),Total Agency Size (GiB),Total Agency Size (GB),Total Agency Size (TiB),,,
dps.georgia.gov,GA,33454742186007,31157.15663,33454.74219,30.42691,,,
mountairymd.org,MD,33069816293308,30798.66645,33069.81629,30.07682,,,
oconeesheriff.org,GA,32218815391597,30006.1101,32218.81539,29.30284,,,
springfieldmo.gov,Missouri,30988375023426,28860.17321,30988.37502,28.18376,,,
oradellpolice.com,NJ,30203438942843,28129.14452,30203.43894,27.46987,,,
chippewafallspd.wi.us,WI,30046520685457,27983.003,30046.52069,27.32715,,,
arapahoegov.com,,29681578377465,27643.12399,29681.57838,26.99524,,,
seabrookpd.nh.us,NH,28217337605719,26279.44351,28217.33761,25.66352,,,
cityofnampa.us,ID,27853492101875,25940.58598,27853.4921,25.3326,,,
lakehallie.us,WI,26730929645831,24895.11822,26730.92965,24.31164,,,
vernonso.org,LA,26361695390794,24551.24202,26361.69539,23.97582,,,
hec.911.org,TX,26020086355641,24233.09382,26020.08636,23.66513,,,
mylongview.com,WA,25510727261804,23758.71619,25510.72726,23.20187,,,
co.cowlitz.wa.us,WA,24837587119579,23131.80558,24837.58712,22.58965,,,
hamiltoncoso.tx.us,TX,24731943323130,23033.41713,24731.94332,22.49357,,,
wallpolice.org,NJ,24133917787290,22476.46245,24133.91779,21.94967,,,
northcatasauqua.org,PA,24111907635288,22455.9639,24111.90764,21.92965,,,
wellscoso.in.us,IN,24058392446230,22406.12399,24058.39245,21.88098,,,
rockford.mi.us,MI,23052650904735,21469.45419,23052.6509,20.96626,,,
riverdalega.gov,GA,22989089711770,21410.25822,22989.08971,20.90846,,,
village.thiensville.wi.us,WI,22669509217592,21112.62569,22669.50922,20.6178,,,
ci.oakdale.mn.us,MN,22326099871342,20792.80081,22326.09987,20.30547,,,
cityofmarion.in.gov,IN,21877504371163,20375.0137,21877.50437,19.89747,,,
co.klickitat.wa.us,WA,21589091470776,20106.40825,21589.09147,19.63516,,,
ccdrive.msi.smoke.tests,,21478294589250,20003.22062,21478.29459,19.5344,,,
