Agency,State,Total Agency Size (Bytes),Total Agency Size (GiB),Total Agency Size (GB),Total Agency Size (TiB),,,
frontroyalva.com,VA,2106983037572,1962.28087,2106.98304,1.91629,,,
sartellmn.com,MN,2105365304005,1960.77424,2105.3653,1.91482,,,
santafecounty.org,NM,2104299066086,1959.78122,2104.29907,1.91385,,,
eutawpd,AL,2097544588384,1953.49063,2097.54459,1.90771,,,
gilpincoso.co.us,CO,2096121626982,1952.16539,2096.12163,1.90641,,,
co.shawano.wi.us,WI,2086633772471,1943.32914,2086.63377,1.89778,,,
glendaleaz.com,Arizona,2061053002727,1919.50519,2061.053,1.87452,,,
newmarketpd.nh.us,NH,2028601728856,1889.28258,2028.60173,1.845,,,
da.co.nacogdoches.tx.us,TX,2025212655242,1886.12626,2025.21266,1.84192,,,
ci.monroe.wa.us,WA,2023997928200,1884.99496,2023.99793,1.84082,,,
911.howardcountymd.gov,,2015987983208,1877.53512,2015.98798,1.83353,,,
dispatch.mcso.org,Arizona,2013856698567,1875.55021,2013.8567,1.83159,,,
cityoflewiston.org,ID,2013018305278,1874.76939,2013.01831,1.83083,,,
butlercitypd.com,PA,1990617132588,1853.90667,1990.61713,1.81046,,,
stmatthewsky.gov,KY,1978989548804,1843.07764,1978.98955,1.79988,,,
wenatcheewa.gov,WA,1964746986718,1829.81322,1964.74699,1.78693,,,
jacksoncoso.oh.us,OH,1925409154338,1793.17701,1925.40915,1.75115,,,
bcso.bexarmetro911,TX,1886539121602,1756.97647,1886.53912,1.7158,,,
bouldercountysheriff.org,CO,1885706269001,1756.20082,1885.70627,1.71504,,,
milwaukeecountyoem,Wisconsin,1850186817775,1723.12075,1850.18682,1.68274,,,
montgomeryisdp.tx.us,TX,1825311261632,1699.95358,1825.31126,1.66011,,,
amarilloisdpd.tx.us,TX,1822938404461,1697.74369,1822.9384,1.65795,,,
hcpolice,NJ,1817873287530,1693.02643,1817.87329,1.65335,,,
parpolice.com,NJ,1816535267694,1691.7803,1816.53527,1.65213,,,
parkview.com,,1803822107578,1679.94025,1803.82211,1.64057,,,
wasatch.utah.gov,UT,1792571013988,1669.46185,1792.57101,1.63033,,,
pinal.gov,AZ,1792074816899,1668.99973,1792.07482,1.62988,,,
fmpolice.com,FL,1789983882923,1667.0524,1789.98388,1.62798,,,
e911.pbso.org,FL,1769259046581,1647.75089,1769.25905,1.60913,,,
shelby-sheriff.org,TN,1760154006672,1639.27116,1760.15401,1.60085,,,
aclink.org,NJ,1751136806415,1630.87324,1751.13681,1.59265,,,
centervilleohio.gov,OH,1748665531975,1628.57169,1748.66553,1.5904,,,
claremorecity.com,OK,1742999113324,1623.29442,1742.99911,1.58525,,,
delawareohio.net,OH,1730156919526,1611.3342,1730.15692,1.57357,,,
baldwinpark.com,CA,1728344213989,1609.64598,1728.34421,1.57192,,,
pd.cityofdenton.com,TX,1726194291068,1607.64371,1726.19429,1.56996,,,
amherstpolice.net,OH,1711434962919,1593.89802,1711.43496,1.55654,,,
tenaflypd.nj.us,NJ,1702409193316,1585.49211,1702.40919,1.54833,,,
solonohio.org,OH,1697378560520,1580.80697,1697.37856,1.54376,,,
yumaaz.gov,AZ,1695709287166,1579.25234,1695.70929,1.54224,,,
findlayohio.com,OH,1686341463571,1570.52787,1686.34146,1.53372,,,
pd.villageofworth.com,Illinois,1686128005037,1570.32907,1686.12801,1.53352,,,
communityisdpd.tx.us,TX,1670283311489,1555.57255,1670.28331,1.51911,,,
fayetteville-ar.gov,AR,1666715478596,1552.24975,1666.71548,1.51587,,,
houghtoncounty.net,MI,1659916340155,1545.91756,1659.91634,1.50969,,,
ivylandborough.org,PA,1659506626190,1545.53598,1659.50663,1.50931,,,
trentonflorida.org,FL,1658025460029,1544.15654,1658.02546,1.50797,,,
hillsborotx.org,TX,1650324567275,1536.98452,1650.32457,1.50096,,,
indiopd.org,CA,1632823366537,1520.68526,1632.82337,1.48504,,,
ecc.okaloosaecc,,1626764447693,1515.04245,1626.76445,1.47953,,,
pd.iowa-city.ia.us,Iowa,1596550820044,1486.90382,1596.55082,1.45205,,,
ncso.nicollet.mn.us,MN,1559144131325,1452.06613,1559.14413,1.41803,,,
villageofphoenix-ny.gov,NY,1545831026482,1439.66733,1545.83103,1.40593,,,
cityofmarina.org,California,1545430484623,1439.2943,1545.43048,1.40556,,,
metamoratownship.com,MI,1535996184775,1430.50792,1535.99618,1.39698,,,
darkecoso.oh.us,OH,1527068590883,1422.19345,1527.06859,1.38886,,,
johnsoncitytn.org,TN,1518727206811,1414.42493,1518.72721,1.38127,,,
austintowntwp.com,OH,1507515941313,1403.98363,1507.51594,1.37108,,,
delreyoaks.org,CA,1498925582352,1395.98323,1498.92558,1.36326,,,
cityofasotin.org,WA,1491955826050,1389.49214,1491.95583,1.35693,,,
garrettcoso.md.us,MD,1479832966598,1378.20185,1479.83297,1.3459,,,
sumtersc.gov,SC,1470155925081,1369.1894,1470.15593,1.3371,,,
comms.pd.tempe.gov,Arizona,1462068323141,1361.65723,1462.06832,1.32974,,,
uintacounty.com,WY,1451917092148,1352.20316,1451.91709,1.32051,,,
pvestates.org,CA,1433601177254,1335.14514,1433.60118,1.30385,,,
parkcity.org,UT,1425682276650,1327.77009,1425.68228,1.29665,,,
lagrangesd.com,Indiana,1410192106995,1313.34374,1410.19211,1.28256,,,
ecc.adacounty.id.gov,Idaho,1406230052238,1309.65379,1406.23005,1.27896,,,
ci.azusa.ca.us,CA,1399901520976,1303.75989,1399.90152,1.2732,,,
sheriff.dentoncounty.gov,Texas,1394647272710,1298.86649,1394.64727,1.26842,,,
azdps.gov,AZ,1382618403837,1287.66373,1382.6184,1.25748,,,
000motousgvva50 (Agency not Matched),,1374364993878,1279.97714,1374.36499,1.24998,,,
portsmouthva.gov,VA,1366774006486,1272.90749,1366.77401,1.24307,,,
winthropminnesota.com,MN,1356126612627,1262.99133,1356.12661,1.23339,,,
verobeachpd.fl.us,FL,1351238039617,1258.43849,1351.23804,1.22894,,,
clearfieldcity.org,UT,1346314915841,1253.85347,1346.31492,1.22447,,,
middlesextwp.com,PA,1345668965134,1253.25189,1345.66897,1.22388,,,
murfreesborotn.gov,Tennessee,1332328843203,1240.82793,1332.32884,1.21175,,,
flowoodpd.com,MS,1332289647395,1240.79142,1332.28965,1.21171,,,
gilbertaz.gov,AZ,1332044196362,1240.56283,1332.0442,1.21149,,,
parks.arkansas.gov,AR,1329101936943,1237.82264,1329.10194,1.20881,,,
lakeworthtx.org,TX,1321103412611,1230.37343,1321.10341,1.20154,,,
dillonsheriff.org,SC,1316069367598,1225.68511,1316.06937,1.19696,,,
highlandssheriff.org,,1301840703078,1212.43364,1301.8407,1.18402,,,
flagstaff.az,AZ,1290732975175,1202.08876,1290.73298,1.17391,,,
faulknercoso.ar.us,AR,1281291429883,1193.29563,1281.29143,1.16533,,,
prescott-az.gov,AZ,1270901385266,1183.61915,1270.90139,1.15588,,,
dps.grossepointepark.org,MI,1262401659962,1175.70316,1262.40166,1.14815,,,
hubbardcoso.mn.us,MN,1259236913143,1172.75576,1259.23691,1.14527,,,
rcc.lickingcounty.gov,OH,1241510604769,1156.24685,1241.5106,1.12915,,,
seacom.az.gov,AZ,1234479370161,1149.69851,1234.47937,1.12275,,,
brooklinema.gov,Massachusetts,1233675934354,1148.95025,1233.67593,1.12202,,,
normanok.gov,OK,1233648288636,1148.9245,1233.64829,1.122,,,
burnetpd.tx.us,TX,1233239901482,1148.54416,1233.2399,1.12163,,,
sumtercounty,FL,1229848133021,1145.38533,1229.84813,1.11854,,,
lafayettecoso.wi.us,,1221058199768,1137.19907,1221.0582,1.11055,,,
precc.yorkcovaecc,Virginia,1208840370768,1125.82033,1208.84037,1.09943,,,
hydecountyds.nc.us,NC,1203924113047,1121.2417,1203.92411,1.09496,,,
cityoflincolnnd.com,ND,1194524765765,1112.48788,1194.52477,1.08641,,,
mohave.gov,,1193526685621,1111.55835,1193.52669,1.08551,,,
pd.cityofnewbaltimore.org,MI,1169397114238,1089.08593,1169.39711,1.06356,,,
dps.alaska.gov,AK,1163216806353,1083.33007,1163.21681,1.05794,,,
lesueurcosd.mn.us,MN,1158615367915,1079.04465,1158.61537,1.05375,,,
casagrandeaz.gov,AZ,1157557295073,1078.05924,1157.5573,1.05279,,,
colvilletribes.com,WA,1153310478075,1074.10408,1153.31048,1.04893,,,
cityofjacksonville.net,AR,1152473000620,1073.32412,1152.473,1.04817,,,
sheriff.garlandcounty.org,AR,1152427394377,1073.28165,1152.42739,1.04813,,,
gmr.net,AZ,1137862970423,1059.71747,1137.86297,1.03488,,,
co.stevens.wa.us,WA,1132177481801,1054.42245,1132.17748,1.02971,,,
madison-co.com,MS,1094883806208,1019.69001,1094.88381,0.99579,,,
ossianin.com,IN,1091666163168,1016.69334,1091.66616,0.99286,,,
sanmiguelsheriff.org,Colorado,1071416566733,997.83444,1071.41657,0.97445,,,
sheriff.mcdonough.il.us,IL,1070224702413,996.72443,1070.2247,0.97336,,,
pd.cityofnorthlasvegas.com,NV,1065294642029,992.13295,1065.29464,0.96888,,,
riverdalecity.com,UT,1064232945708,991.14417,1064.23295,0.96791,,,
esd11.911.org,TX,1055916270998,983.39866,1055.91627,0.96035,,,
ycsoaz.gov,AZ,1054957120218,982.50538,1054.95712,0.95948,,,
southbeloit.org,IL,1042857220426,971.23647,1042.85722,0.94847,,,
pd.cityoflewisville.com,,1042052256984,970.48679,1042.05226,0.94774,,,
oakhillpd.oh.us,OH,1036567410291,965.37863,1036.56741,0.94275,,,
provo.org,UT,1032968209306,962.02661,1032.96821,0.93948,,,
rioblancocoso.co.us,CO,1031947224610,961.07575,1031.94722,0.93855,,,
sagchip.org,MI,1027894916155,957.30174,1027.89492,0.93486,,,
ci.mcminnville.or.us,OR,1022367389347,952.15383,1022.36739,0.92984,,,
cityofkingman.gov,AZ,1011667322282,942.18862,1011.66732,0.92011,,,
cottonwoodaz.gov,AZ,1009848934322,940.49511,1009.84893,0.91845,,,
co.hood.tx.us,TX,990733003640,922.69201,990.733,0.90107,,,
woodburnpd.in.us,IN,983551386378,916.00361,983.55139,0.89453,,,
wcrdc.net,CO,982459442493,914.98666,982.45944,0.89354,,,
lockportny.gov,NY,977663529166,910.52012,977.66353,0.88918,,,
bartlettpolice.org,TN,976935717468,909.84229,976.93572,0.88852,,,
peoriaaz.gov,AZ,972727686306,905.92325,972.72769,0.88469,,,
msi.demo.two,UT,968380997401,901.87508,968.381,0.88074,,,
iowacounty.org,WI,945376067005,880.45007,945.37607,0.85981,,,
kenmorepolice.org,New York,938124561812,873.69658,938.12456,0.85322,,,
navajocophsd.az.us,AZ,923247392922,859.84114,923.24739,0.83969,,,
hccomc.911.org,TX,922467236273,859.11456,922.46724,0.83898,,,
lawcoso.com,,921281035012,858.00983,921.28104,0.8379,,,
bullheadcity.com,Arizona,912696817926,850.01515,912.69682,0.83009,,,
russellspointpd.oh.us,OH,898732708147,837.01006,898.73271,0.81739,,,
coldspringpd.mn.us,MN,895547787253,834.04387,895.54779,0.8145,,,
emichigancity.com,IN,893984911772,832.58833,893.98491,0.81307,,,
fcso.franklincountyil.gov,IL,888730224092,827.69452,888.73022,0.8083,,,
medinapd.ny.us,NY,888583774196,827.55813,888.58377,0.80816,,,
spotsylvania.va.us,,882801143827,822.17263,882.80114,0.8029,,,
ansontx.us,TX,881472798919,820.93552,881.4728,0.80169,,,
huntsvillepd.al.us,,877714968308,817.43576,877.71497,0.79828,,,
sumnercoso.tn.us,TN,851888294749,793.3828,851.88829,0.77479,,,
vecc911.com,Utah,836062834057,778.64419,836.06283,0.76039,,,
ci.gary.in.us,IN,824206088202,767.60174,824.20609,0.74961,,,
yumacountysheriff.org,AZ,823500822295,766.94491,823.50082,0.74897,,,
mrdc.mesaaz.gov,Arizona,812440795304,756.64445,812.4408,0.73891,,,
safd.bexarmetro911,TX,807150275511,751.71727,807.15028,0.7341,,,
911.missoulacounty.us,MT,803266959169,748.10065,803.26696,0.73057,,,
hopewelltwppd.nj.us,NJ,790365758932,736.08547,790.36576,0.71883,,,
co.mason.wa.us,Washington,790146004552,735.88081,790.146,0.71863,,,
cityofsherwood.net,AR,763068077196,710.66253,763.06808,0.69401,,,
co.pueblo.co.us,Colorado,756784809212,704.81078,756.78481,0.68829,,,
sumtercoso.fl.us,FL,750179245103,698.65887,750.17925,0.68228,,,
planoparks.org,TX,746078981034,694.8402,746.07898,0.67855,,,
opd.oswegocounty.com,NY,739487054118,688.70099,739.48705,0.67256,,,
pd.canfield.gov,OH,731645097924,681.3976,731.6451,0.66543,,,
maricopa-az.gov,AZ,725888330714,676.03619,725.88833,0.66019,,,
co.waupaca.wi.us,WI,720384249794,670.91011,720.38425,0.65519,,,
graysharbor.us,WA,717139749793,667.88844,717.13975,0.65223,,,
manasquan-nj.gov,NJ,717043421313,667.79873,717.04342,0.65215,,,
shawneecounty.kansas911.org,KS,714786780660,665.69706,714.78678,0.65009,,,
prcity.com,CA,714044424341,665.00569,714.04442,0.64942,,,
gric.nsn.us,AZ,712479465853,663.54821,712.47947,0.648,,,
runnemedepd.nj.us,NJ,696205486117,648.39189,696.20549,0.6332,,,
ecc.ocso.okaloosa.fl.us,FL,692580866123,645.0162,692.58087,0.6299,,,
pasdna.911.org,Texas,691583734173,644.08754,691.58373,0.62899,,,
comms.sheriff.co.beaufort.sc.us,SC,690191453373,642.79088,690.19145,0.62773,,,
mandanpd.nd.us,ND,683952682133,636.98057,683.95268,0.62205,,,
lhcaz.gov,AZ,683109883598,636.19566,683.10988,0.62128,,,
scottsdaleaz.gov,Arizona,673181535720,626.94916,673.18154,0.61226,,,
leesburgflorida.gov,FL,671031140267,624.94645,671.03114,0.6103,,,
mckeesrockspd.org,PA,667829135310,621.96435,667.82914,0.60739,,,
ntecc911.org,,667817790902,621.95378,667.81779,0.60738,,,
opkansas.org,KS,657052509766,611.92784,657.05251,0.59759,,,
lincolnil.gov,IL,646573967984,602.16893,646.57397,0.58806,,,
dearborncounty.in.gov,IN,645949594295,601.58744,645.94959,0.58749,,,
988.dutchessny.gov,NY,639052547229,595.16406,639.05255,0.58121,,,
cffire.911.org,TX,635858788612,592.18964,635.85879,0.57831,,,
germantown-tn.gov,TN,612217927154,570.17238,612.21793,0.55681,,,
ypd.yonkersny.gov,,606775417624,565.10364,606.77542,0.55186,,,
westwoodnj.gov,NJ,601451809472,560.14565,601.45181,0.54702,,,
minooka.com,IL,595226497601,554.34787,595.2265,0.54136,,,
lapazsheriff.org,AZ,592749303160,552.04081,592.7493,0.5391,,,
tompkins-co.org,NY,591335208878,550.72383,591.33521,0.53782,,,
yarmouth.ma.us,MA,589209004462,548.74365,589.209,0.53588,,,
cityofnewcastle.net,IN,571052471247,531.83406,571.05247,0.51937,,,
pd.miamiokla.net,OK,569412510044,530.30672,569.41251,0.51788,,,
lovesparkpolice.org,IL,564366328412,525.6071,564.36633,0.51329,,,
ehccomc.911.org,TX,562259258997,523.64474,562.25926,0.51137,,,
co.door.wi.us,WI,557470707411,519.18505,557.47071,0.50702,,,
westpottsgrove.org,PA,556093033761,517.902,556.09303,0.50576,,,
nederlandpd.co.us,CO,551040531817,513.19649,551.04053,0.50117,,,
cityofwrens.com,GA,549935865374,512.16769,549.93587,0.50016,,,
germantwnpd.pa.us,PA,549902119197,512.13626,549.90212,0.50013,,,
athenssheriff.com,OH,549549362297,511.80773,549.54936,0.49981,,,
pd.southernshores-nc.gov,NC,539812005989,502.73911,539.81201,0.49096,,,
columbusga.org,Georgia,538742344970,501.74291,538.74234,0.48998,,,
juneaucoso.wi.us,,534606196396,497.89082,534.6062,0.48622,,,
comms.sheriff.co.martin.fl.us,FL,533460545559,496.82385,533.46055,0.48518,,,
boisecounty.us,,526403590835,490.25155,526.40359,0.47876,,,
ecd.dgso.org,KS,526133991174,490.00046,526.13399,0.47852,,,
windhampd.me.us,Maine,524284506444,488.278,524.28451,0.47683,,,
nashville.gov,TN,519503092559,483.82496,519.50309,0.47249,,,
911.billings.mt.us,MT,518795162284,483.16565,518.79516,0.47184,,,
colliervilletn.gov,TN,517809996430,482.24814,517.81,0.47095,,,
msi.watchguard.tso,,513888830219,478.59627,513.88883,0.46738,,,
esd100.911.org,TX,513381273892,478.12357,513.38127,0.46692,,,
castlerockpd.wa.us,WA,512709280679,477.49773,512.70928,0.46631,,,
utahcounty.gov,,512249808588,477.06981,512.24981,0.46589,,,
henrycounty.in.gov,,510895205096,475.80824,510.89521,0.46466,,,
wethersfieldct.gov,CT,507635173214,472.7721,507.63517,0.46169,,,
baytwn.911.org,TX,505992028065,471.2418,505.99203,0.4602,,,
ingrampd.pa.us,PA,504128083665,469.50586,504.12808,0.4585,,,
teaneckpd.nj.us,NJ,503544592597,468.96245,503.54459,0.45797,,,
mcsofl.org,FL,494363556170,460.41194,494.36356,0.44962,,,
mercercounty911.org,NJ,487762916240,454.26461,487.76292,0.44362,,,
laurinburg.org,NC,481865460610,448.77218,481.86546,0.43825,,,
jacksoncountysheriffin.org,Indiana,479231650513,446.31925,479.23165,0.43586,,,
seagirtpd.net,NJ,476948900371,444.19328,476.9489,0.43378,,,
bountiful.gov,UT,476255008669,443.54704,476.25501,0.43315,,,
ecomms.sheboygancounty.com,WI,470128954607,437.84171,470.12895,0.42758,,,
maranaaz.gov,AZ,456691018142,425.32665,456.69102,0.41536,,,
campusshield.org,FL,436834529897,406.83386,436.83453,0.3973,,,
pd.moundsview.mn.us,MN,436701820335,406.71026,436.70182,0.39718,,,
gvsu.edu,MI,435825124955,405.89378,435.82512,0.39638,,,
monroela.us,LA,435472191499,405.56508,435.47219,0.39606,,,
sheridanpolice.com,WY,434110471543,404.29688,434.11047,0.39482,,,
dps.sd.gov,SD,434108732449,404.29526,434.10873,0.39482,,,
ci.brea.ca.us,CA,433770466759,403.98023,433.77047,0.39451,,,
police.ventnorcity.org,NJ,433026485914,403.28734,433.02649,0.39384,,,
dmcounty.com,Iowa,431871313210,402.2115,431.87131,0.39278,,,
siouxcitypd.ia.us,,428782953853,399.33524,428.78295,0.38998,,,
bayfieldcounty.wi.gov,WI,423726799259,394.62633,423.7268,0.38538,,,
marblefallstx.gov,TX,420260820024,391.39839,420.26082,0.38222,,,
pd.tolleson.az.gov,AZ,419224047646,390.43282,419.22405,0.38128,,,
bgky.org,KY,418142148595,389.42522,418.14215,0.3803,,,
911.surpriseaz.gov,AZ,416742585397,388.12178,416.74259,0.37903,,,
kalkaskasheriff.net,,416302075344,387.71152,416.30208,0.37862,,,
paysonaz.gov,AZ,414972839928,386.47357,414.97284,0.37742,,,
shelbycountytn.gov,TN,414459377247,385.99537,414.45938,0.37695,,,
fw.dep.nj.gov,NJ,413056490805,384.68883,413.05649,0.37567,,,
milltownnj.org,NJ,411031641133,382.80305,411.03164,0.37383,,,
southbury-ct.gov,CT,406104093633,378.21391,406.10409,0.36935,,,
ecc.cherokeega.com,GA,403684102305,375.96012,403.6841,0.36715,,,
msi.sedemo.demo.ccpd,IL,400707398340,373.18785,400.7074,0.36444,,,
police.northbrunswicknj.gov,NJ,399071202933,371.66402,399.0712,0.36295,,,
rooseveltpd.ut.us,UT,398953968672,371.55484,398.95397,0.36285,,,
whitecoso.ar.us,AR,397408747531,370.11574,397.40875,0.36144,,,
ci.urbana.oh.us,OH,397171611966,369.89489,397.17161,0.36123,,,
fairviewpark.org,OH,396954310251,369.69251,396.95431,0.36103,,,
kcgov.us,Idaho,394722730394,367.61419,394.72273,0.359,,,
suglnd.911.org,TX,394283909156,367.20551,394.28391,0.3586,,,
southsaltlakecity.com,UT,393829665427,366.78246,393.82967,0.35819,,,
bethlehem-pa.gov,PA,392532326307,365.57422,392.53233,0.35701,,,
newingtonct.gov,CT,390186873517,363.38984,390.18687,0.35487,,,
firerescue.pbcgov.org,FL,389056427074,362.33703,389.05643,0.35384,,,
rawlins-wyoming.com,WY,388533151272,361.84969,388.53315,0.35337,,,
saukcountywi.gov,WI,387891078898,361.25172,387.89108,0.35278,,,
stonecountysheriff.com,AR,381032577818,354.86424,381.03258,0.34655,,,
freeburg.com,IL,380595272151,354.45697,380.59527,0.34615,,,
lakestevenswa.gov,WA,377264458622,351.35491,377.26446,0.34312,,,
franklincoso.va.us,VA,376919710337,351.03384,376.91971,0.34281,,,
naplesgov.com,FL,375693936925,349.89224,375.69394,0.34169,,,
eastridgetn.org,TN,374646800212,348.91702,374.6468,0.34074,,,
townofedgewoodin.us,IN,373903453697,348.22473,373.90345,0.34006,,,
friendswood.tx.us,TX,371730097571,346.20063,371.7301,0.33809,,,
hartford-vt.org,VT,370837113163,345.36897,370.83711,0.33727,,,
msi.demo.tartan,IL,366936254355,341.73602,366.93625,0.33373,,,
ecc.gcso.galco,Texas,365500418250,340.39879,365.50042,0.33242,,,
transcriptionprodtestsite,,364630162561,339.5883,364.63016,0.33163,,,
cu911.org,,359791917088,335.08233,359.79192,0.32723,,,
pd.eastgrandforks.mn.us,MN,358868120828,334.22198,358.86812,0.32639,,,
mcso.mckenziecounty.net,ND,357266885935,332.73072,357.26689,0.32493,,,
carbonwy.com,WY,356125422261,331.66765,356.12542,0.32389,,,
ci.dearborn-heights.mi.us,MI,355589987934,331.16898,355.58999,0.32341,,,
hutchinsonreno.kansas911.org,KS,355036799428,330.65379,355.0368,0.3229,,,
sheriff.co.caldwell.tx.us,TX,348524788032,324.589,348.52479,0.31698,,,
89ba04bcd1fd7958ec59e101eb66d281 (Agency not Matched),,346066355189,322.29941,346.06636,0.31475,,,
campbellcosd.va.us,VA,345799590096,322.05096,345.79959,0.3145,,,
comms.cortezco.gov,CO,343133950569,319.56839,343.13395,0.31208,,,
bcnv.org,NV,343020881661,319.46309,343.02088,0.31198,,,
roscommoncoso.mi.us,MI,341646356193,318.18296,341.64636,0.31073,,,
flower-mound.com,TX,340562301126,317.17336,340.5623,0.30974,,,
highlandsborough.org,NJ,336706493795,313.58236,336.70649,0.30623,,,
elpasoco.com,CO,336614043967,313.49626,336.61404,0.30615,,,
pd.ennis.tx.us,TX,336603813868,313.48673,336.60381,0.30614,,,
tallmadge-ohio.org,OH,335534891372,312.49122,335.53489,0.30517,,,
puyallupwa.gov,WA,334854448555,311.85751,334.85445,0.30455,,,
veccaz.org,AZ,334127807762,311.18077,334.12781,0.30389,,,
millingtontn.gov,TN,333714081910,310.79546,333.71408,0.30351,,,
allenpd.tx.us,TX,327354644254,304.87277,327.35464,0.29773,,,
pd.cityofdavis.org,CA,326426209188,304.0081,326.42621,0.29688,,,
911.avondaleaz.gov,AZ,326145453310,303.74662,326.14545,0.29663,,,
stoneypointfirerescue.com,NC,325242487552,302.90567,325.24249,0.29581,,,
eddy911.com,NM,322746407406,300.58102,322.74641,0.29354,,,
fhp.e911.pbso.org,FL,321819102808,299.7174,321.8191,0.29269,,,
coolidgeaz.com,AZ,319854060322,297.88731,319.85406,0.29091,,,
leacty.911.org,TX,317646978887,295.8318,317.64698,0.2889,,,
villageofwinfield.com,IL,316297193445,294.57472,316.29719,0.28767,,,
greenvillepd.oh.us,OH,313251673972,291.73836,313.25167,0.2849,,,
911.buckeyeaz.gov,AZ,312252616817,290.80791,312.25262,0.28399,,,
lafayette911.org,LA,310257925809,288.95021,310.25793,0.28218,,,
univheightspd.oh.us,OH,302405866884,281.63741,302.40587,0.27504,,,
co.yakima.wa.us,WA,301219155482,280.5322,301.21916,0.27396,,,
wspd.us,TX,299692996933,279.11085,299.693,0.27257,,,
co.bingham.id.us,ID,297484471023,277.054,297.48447,0.27056,,,
ecc.tiogacountyny.gov,New York,297378342473,276.95516,297.37834,0.27046,,,
ssf.net,CA,289529387793,269.64525,289.52939,0.26333,,,
newportpd.us,WA,287978183370,268.20058,287.97818,0.26191,,,
jacksoncosd.fl.us,FL,282736526285,263.31891,282.73653,0.25715,,,
msi.demo,Illinois,281127511259,261.8204,281.12751,0.25568,,,
pikecountysheriff.oh.gov,OH,278240661196,259.13181,278.24066,0.25306,,,
barringtonpd.il.us,IL,275185037670,256.28604,275.18504,0.25028,,,
pd.chardon.cc,OH,274820169471,255.94623,274.82017,0.24995,,,
comms.sheriff.cattco.gov,New York,269467074830,250.96077,269.46707,0.24508,,,
yuma.ruralmetrofire,AZ,268969824194,250.49767,268.96982,0.24463,,,
rdc.fd.phoenix.gov,AZ,266808479333,248.48476,266.80848,0.24266,,,
pd.plymouthgov.com,WI,265569213749,247.3306,265.56921,0.24153,,,
orovalleyaz.gov,AZ,265277619867,247.05904,265.27762,0.24127,,,
florenceaz.gov,AZ,264485352605,246.32118,264.48535,0.24055,,,
ecc.cortlandcountyny.gov,New York,264301729061,246.15017,264.30173,0.24038,,,
unionbeachnj.gov,NJ,262966165067,244.90633,262.96617,0.23917,,,
sanluisaz.gov,AZ,262443787562,244.41982,262.44379,0.23869,,,
teasd.com,SD,261965617130,243.97449,261.96562,0.23826,,,
fedheights.org,CO,260155255386,242.28846,260.15526,0.23661,,,
vpsfl.org,FL,259899719461,242.05048,259.89972,0.23638,,,
pd.cityofwestworth.com,Texas,259153441421,241.35545,259.15344,0.2357,,,
maricopa.amr.net,AZ,258345592569,240.60308,258.34559,0.23496,,,
madisonpd.org,,258090180782,240.36521,258.09018,0.23473,,,
idahocitypd,ID,256946247385,239.29984,256.94625,0.23369,,,
pd.keizer.or.us,OR,255886420813,238.3128,255.88642,0.23273,,,
ci.sherman.tx.us,TX,254179424047,236.72304,254.17942,0.23117,,,
adaoh.org,OH,251987026128,234.68121,251.98703,0.22918,,,
dallascountyiowa.gov,IA,251031249168,233.79107,251.03125,0.22831,,,
miscty.911.org,TX,249661877866,232.51574,249.66188,0.22707,,,
pearld.911.org,TX,248399303569,231.33988,248.3993,0.22592,,,
wcso.org,Florida,246166639754,229.26055,246.16664,0.22389,,,
police.apachejunctionaz.gov,Arizona,243637500312,226.9051,243.6375,0.22159,,,
longboatkey.org,FL,243250400849,226.54459,243.2504,0.22123,,,
oak-forest.org,IL,241795062426,225.1892,241.79506,0.21991,,,
pd.co.aa.md.us,MD,240638480122,224.11205,240.63848,0.21886,,,
eastonpd.com,MA,238986659418,222.57367,238.98666,0.21736,,,
msi.smoke.tests,ILTest1,238931318922,222.52213,238.93132,0.21731,,,
umpd.umd.edu,MD,238005020827,221.65945,238.00502,0.21646,,,
santacruzcountyaz.gov,AZ,237598919831,221.28124,237.59892,0.21609,,,
bangormaine.gov,ME,236155815408,219.93724,236.15582,0.21478,,,
weber911.org,UT,233778601659,217.72329,233.7786,0.21262,,,
ahnj.com,NJ,232784730782,216.79767,232.78473,0.21172,,,
comms.lcso.lake.fl.us,FL,232433152976,216.47024,232.43315,0.2114,,,
cedarlakepd.in.us,IN,231107297058,215.23544,231.1073,0.21019,,,
rcsotn.com,TN,230994269360,215.13018,230.99427,0.21009,,,
algonquin.com,IL,227963168269,212.30724,227.96317,0.20733,,,
co.jones.ms.us,MS,226938059227,211.35254,226.93806,0.2064,,,
ecc.fordcounty.net,KS,226667229857,211.10031,226.66723,0.20615,,,
plantcitygov.com,Florida,225692608218,210.19262,225.69261,0.20527,,,
cityofwellston.org,OH,225139177031,209.6772,225.13918,0.20476,,,
coonrapidspd.mn.us,MN,222894185457,207.58639,222.89419,0.20272,,,
pd.roysecity.com,TX,220749375731,205.58888,220.74938,0.20077,,,
sturgeonbaypolice.com,WI,217573259780,202.63089,217.57326,0.19788,,,
ecc.crispcounty.com,Georgia,215177627253,200.39978,215.17763,0.1957,,,
hillsdalepd.nj.us,NJ,214565031095,199.82926,214.56503,0.19515,,,
ashtabulacounty.us,OH,214074244765,199.37218,214.07424,0.1947,,,
somertonaz.gov,AZ,212454501060,197.86367,212.4545,0.19323,,,
nogalesaz.gov,AZ,211208039806,196.70282,211.20804,0.19209,,,
astoria.or.us,OR,207640384259,193.38018,207.64038,0.18885,,,
